method,avg_distance,avg_deviance,max_deviance,min_distance,max_distance,avg_energy_error,max_energy_error,min_energy_error,final_energy_error,avg_ang_momentum_error,max_ang_momentum_error,final_ang_momentum_error
euler,1.0469747894495094,0.04697478944950939,0.0907449606851971,1.0,1.090744960685197,0.04431899340962379,0.08375987554218678,0.0,0.08375987554218678,0.02316589331408644,0.04470474587133344,0.04470474587133344
verlet,1.0000002513069233,2.5130692338593653e-07,4.999998777233117e-07,0.9999999999999971,1.0000004999998777,1.2536496688034525e-13,2.639000129533997e-13,0.0,2.2426505097428162e-14,3.060135337909531e-15,9.769962616701378e-15,8.881784197001252e-15
rk4,0.999999999999985,2.2329209317911653e-14,5.3512749786932545e-14,0.9999999999999465,1.000000000000032,1.0060604309930181e-14,2.3092638912203256e-14,0.0,1.3100631690576847e-14,5.0308883409983724e-15,1.1546319456101628e-14,6.661338147750939e-15
