time,x,y,vx,vy,energy,energy_error,angular_momentum,momentum_error,distance,speed
0.0,1.0,0.0,0.0,1.0,-0.5,0.0,1.0,0.0,1.0,1.0
0.005,0.9999875000260415,0.0049999791666666665,-0.0049999791667154955,0.9999875000260415,-0.5000000000000002,4.440892098500626e-16,0.9999999999999998,2.220446049250313e-16,0.9999999999999998,1.0
0.01,0.999950000416665,0.009999833334114581,-0.009999833334212244,0.999950000416665,-0.5000000000000007,1.3322676295501878e-15,0.9999999999999994,5.551115123125783e-16,0.9999999999999992,1.0000000000000002
0.015,0.9998875021093588,0.014999437506249965,-0.014999437506396469,0.9998875021093588,-0.5000000000000009,1.7763568394002505e-15,0.9999999999999992,7.771561172376096e-16,0.9999999999999984,1.0000000000000007
0.02,0.9998000066665774,0.01999866669322891,-0.019998666693424268,0.9998000066665774,-0.500000000000001,1.9984014443252818e-15,0.9999999999999991,8.881784197001252e-16,0.9999999999999976,1.0000000000000013
0.025,0.9996875162757022,0.024997395914582124,-0.02499739591482634,0.9996875162757022,-0.5000000000000013,2.6645352591003757e-15,0.9999999999999989,1.1102230246251565e-15,0.9999999999999963,1.0000000000000024
0.030000000000000002,0.9995500337489871,0.029995500202339417,-0.029995500202632506,0.9995500337489871,-0.5000000000000014,2.886579864025407e-15,0.9999999999999986,1.4432899320127035e-15,0.9999999999999949,1.0000000000000036
0.035,0.9993875625234881,0.03499285460415392,-0.034992854604495895,0.9993875625234881,-0.5000000000000017,3.3306690738754696e-15,0.9999999999999983,1.6653345369377348e-15,0.9999999999999932,1.000000000000005
0.04,0.9992001066609775,0.039989334186425855,-0.039989334186816744,0.9992001066609775,-0.500000000000002,3.9968028886505635e-15,0.999999999999998,1.9984014443252818e-15,0.9999999999999912,1.0000000000000069
0.045,0.998987670847842,0.04498481403742591,-0.04498481403786573,0.998987670847842,-0.5000000000000022,4.440892098500626e-15,0.9999999999999979,2.1094237467877974e-15,0.999999999999989,1.0000000000000089
0.049999999999999996,0.9987502603949658,0.049979169270417984,-0.04997916927090676,0.9987502603949658,-0.5000000000000026,5.10702591327572e-15,0.9999999999999976,2.4424906541753444e-15,0.9999999999999866,1.0000000000000109
0.05499999999999999,0.998487881237598,0.05497227502678138,-0.054972275027319134,0.998487881237598,-0.5000000000000028,5.551115123125783e-15,0.9999999999999973,2.6645352591003757e-15,0.9999999999999838,1.0000000000000133
0.05999999999999999,0.9982005399352039,0.059964006479132234,-0.059964006479719,0.9982005399352039,-0.500000000000003,5.995204332975845e-15,0.9999999999999971,2.886579864025407e-15,0.9999999999999809,1.000000000000016
0.06499999999999999,0.9978882436713009,0.06495423883444423,-0.06495423883508004,0.9978882436713009,-0.5000000000000031,6.217248937900877e-15,0.9999999999999969,3.1086244689504383e-15,0.9999999999999778,1.000000000000019
0.06999999999999999,0.9975510002532795,0.0699428473371684,-0.06994284733785329,0.9975510002532795,-0.5000000000000034,6.8833827526759706e-15,0.9999999999999967,3.3306690738754696e-15,0.9999999999999744,1.0000000000000222
0.075,0.9971888181122075,0.074929707272352,-0.074929707273086,0.9971888181122075,-0.5000000000000034,6.8833827526759706e-15,0.9999999999999967,3.3306690738754696e-15,0.9999999999999708,1.0000000000000258
0.08,0.9968017063026196,0.07991469396875638,-0.07991469396953951,0.9968017063026196,-0.5000000000000036,7.105427357601002e-15,0.9999999999999964,3.552713678800501e-15,0.9999999999999669,1.0000000000000295
0.085,0.9963896745022908,0.08489768280197375,-0.08489768280280607,0.9963896745022908,-0.5000000000000039,7.771561172376096e-15,0.9999999999999961,3.885780586188048e-15,0.9999999999999627,1.0000000000000333
0.09000000000000001,0.9959527330119947,0.08987854919754283,-0.08987854919842438,0.9959527330119947,-0.5000000000000041,8.215650382226158e-15,0.999999999999996,3.9968028886505635e-15,0.9999999999999584,1.0000000000000375
0.09500000000000001,0.9954908927552458,0.09485716863406314,-0.09485716863499397,0.9954908927552458,-0.5000000000000044,8.881784197001252e-15,0.9999999999999957,4.3298697960381105e-15,0.9999999999999537,1.000000000000042
0.10000000000000002,0.9950041652780266,0.09983341664630807,-0.09983341664728822,0.9950041652780265,-0.5000000000000044,8.881784197001252e-15,0.9999999999999956,4.440892098500626e-15,0.9999999999999489,1.0000000000000466
0.10500000000000002,0.9944925627484985,0.10480716882833649,-0.10480716882936601,0.9944925627484983,-0.5000000000000047,9.325873406851315e-15,0.9999999999999954,4.551914400963142e-15,0.9999999999999438,1.0000000000000515
0.11000000000000003,0.9939560979566981,0.10977830083660291,-0.10977830083768186,0.9939560979566978,-0.5000000000000049,9.769962616701378e-15,0.9999999999999951,4.884981308350689e-15,0.9999999999999385,1.0000000000000566
0.11500000000000003,0.9933947843142173,0.11474668839306602,-0.11474668839419447,0.9933947843142169,-0.5000000000000053,1.0658141036401503e-14,0.9999999999999948,5.218048215738236e-15,0.9999999999999328,1.000000000000062
0.12000000000000004,0.992808635853868,0.11971220728829571,-0.11971220728947368,0.9928086358538675,-0.5000000000000054,1.0880185641326534e-14,0.9999999999999947,5.329070518200751e-15,0.9999999999999271,1.0000000000000675
0.12500000000000003,0.9921976672293311,0.12467473338457818,-0.12467473338580576,0.9921976672293304,-0.5000000000000056,1.1102230246251565e-14,0.9999999999999946,5.440092820663267e-15,0.9999999999999211,1.0000000000000735
