time,x,y,vx,vy,energy,energy_error,angular_momentum,momentum_error,distance,speed
0.0,1.0,0.0,0.0,1.0,-0.5,0.0,1.0,0.0,1.0,1.0
0.005,0.9999875,0.005,-0.0049999687494140695,0.9999875000000029,-0.49999999999999944,1.1102230246251565e-15,1.0,0.0,1.000000000078125,0.9999999999218755
0.01,0.9999500003125059,0.009999875000000028,-0.009999812497265784,0.9999500003125292,-0.4999999999999981,3.774758283725532e-15,1.0,0.0,1.000000000312498,0.9999999996875039
0.015,0.9998875018750274,0.014999500003125292,-0.014999406245118242,0.999887501875124,-0.4999999999999956,8.770761894538737e-15,1.0,0.0,1.0000000007031133,0.999999999296891
0.02,0.9998000062500547,0.019998750018751267,-0.01999862500078536,0.9998000062503358,-0.4999999999999924,1.5210055437364645e-14,1.0,0.0,1.0000000012499608,0.9999999987500467
0.025,0.9996875156250195,0.024997500065628647,-0.02499734378145709,0.9996875156256785,-0.49999999999998795,2.4091839634365897e-14,0.9999999999999999,1.1102230246251565e-16,1.0000000019530273,0.9999999980469847
0.030000000000000002,0.9995500328122401,0.02999562517500805,-0.02999543761682439,0.9995500328135757,-0.4999999999999827,3.4638958368304884e-14,0.9999999999999999,1.1102230246251565e-16,1.0000000028122948,0.9999999971877225
0.035,0.9993875612488513,0.034993000393764406,-0.034992781552203915,0.999387561251291,-0.49999999999997624,4.75175454539567e-14,0.9999999999999999,1.1102230246251565e-16,1.0000000038277421,0.9999999961722816
0.04,0.9992001049967181,0.03998950078752096,-0.03998925065166227,0.9992001050008418,-0.4999999999999688,6.23945339839338e-14,0.9999999999999998,2.220446049250313e-16,1.0000000049993438,0.9999999950006874
0.045,0.9989876687423346,0.04498500144377282,-0.04498472000113983,0.9989876687488977,-0.49999999999996064,7.87148124459236e-14,0.9999999999999999,1.1102230246251565e-16,1.0000000063270702,0.9999999936729691
0.049999999999999996,0.9987502577967067,0.04997937747500993,-0.04997906471157399,0.9987502578066633,-0.4999999999999515,9.703349235223868e-14,0.9999999999999999,1.1102230246251565e-16,1.0000000078108886,0.99999999218916
0.05499999999999999,0.9984878780952189,0.05497250402183945,-0.05497215992202182,0.9984878781097455,-0.499999999999941,1.1801670751765414e-13,0.9999999999999998,2.220446049250313e-16,1.000000009450762,0.9999999905492971
0.05999999999999999,0.9982005361974864,0.059964256256107386,-0.05996388080278197,0.9982005362180051,-0.4999999999999298,1.404432126150823e-13,0.9999999999999998,2.220446049250313e-16,1.0000000112466487,0.9999999887534216
0.06499999999999999,0.997888239287191,0.06495450938401949,-0.06495410255851584,0.9978882393153925,-0.4999999999999178,1.6442402994698568e-13,0.9999999999999997,3.3306690738754696e-16,1.0000000131985043,0.9999999868015781
0.06999999999999999,0.9975509951719012,0.0699431386492613,-0.06994270043136788,0.9975509952097683,-0.49999999999990474,1.9051427102567686e-13,0.9999999999999997,3.3306690738754696e-16,1.0000000153062798,0.9999999846938156
